key_value	cited	unit	japanese	eng1	eng2	eng3
EX15U01S001	1	1	患者は手術の直後、感染症にかかりやすくなる。	Patients are vulnerable to infection just after surgery.		
EX15U01S002	1	1	すべての警戒標識に気をつけるようにしてください。	Make sure to heed all the warning signs.		
EX15U01S003	1	1	その場に居合わせた人が逮捕の様子を動画に収めた。	A bystander captured the arrest on video.		
EX15U01S004	1	1	その橋は地域の混雑を緩和している。	The bridge eases congestion in the area.		
EX15U01S005	1	1	彼女はすべての電化製品を捨て、新しいものに買い換えた。	She discarded all her appliances and replaced them with new ones.		
EX15U01S006	1	1	炎は完全に制御不能で、あっという間に燃え広がった。	The blaze was completely out of control and spread quickly.		
EX15U01S007	1	1	彼は絵筆を使うのが少し不器用だ。	He is a little clumsy with a paintbrush.		
EX15U01S008	1	1	私たちは主要な汚染源を早急に除去しなければならない。	We must eliminate major sources of pollution quickly.		
EX15U01S009	1	1	その政治家はスキャンダルへの関与を認めた。	The politician acknowledged his involvement in the scandal.		
EX15U01S010	1	1	すべてのキノコが食べられるわけではないので、注意が必要だ。	"Not all mushrooms are edible, so you have to be careful."		
EX15U01S011	1	1	私たち一族は何世紀にもわたってこの土地を耕してきた。	Our people have cultivated the land here for centuries.		
EX15U01S012	1	1	支払いの期限が過ぎてしまったため、彼女は罰金を支払わなければならなかった。	She had to pay a fine because her payment was overdue.		
EX15U01S013	1	1	その大学の登録者数はほとんど毎年増えている。	The university's enrollment increases almost every year.		
EX15U01S014	1	1	彼は会社を立ち上げるときに友人の援助を得た。	He enlisted the help of friends when setting up his business.		
EX15U01S015	1	1	内戦中、国は無政府状態になった。	Anarchy reigned in the country during the civil war.		
EX15U01S016	1	1	彼女は返事をしたがらなかった。	She was reluctant to give an answer.		
EX15U01S017	1	1	当社では、壊れやすいものの配送サービスは行っておりません。	Our company does not offer a service to ship fragile items.		
EX15U01S018	1	1	業績は、年に2回評価されます。	Your work performance will be evaluated twice per year.		
EX15U01S019	1	1	午後3時に授業を再開します。	We will resume the class at 3:00 p.m.		
EX15U01S020	1	1	彼女は一日中街を歩いて疲れきっていた。	She was weary after a day of walking in the city.		
EX15U01S021	1	1	事故のあと、祖父母が彼女を保護した。	Her grandparents took custody of her after the accident.		
EX15U01S022	1	1	その2つの政党は連立政権を樹立した。	The two parties formed a coalition government.		
EX15U01S023	1	1	その地域には、大きくて静かな森がたくさんある。	"That area has many large, tranquil forests."		
EX15U01S024	1	1	法律を遵守させるのは警察の仕事だ。	It is the job of the police to enforce the law.		
EX15U01S025	1	1	その女性は警察の目を避けるために男性に変装した。	The woman disguised herself as a man to avoid police.		
EX15U01S026	1	1	その学校は、余剰金を使って体育館を改修する予定だ。	The school plans to use the surplus of funds to update the gymnasium.		
EX15U01S027	1	1	活動家たちは嘆願書に署名してくれるさらに多くの人を探している。	The activists are looking for more people to sign their petition.		
EX15U01S028	1	1	彼は寝坊の常習犯で、よく仕事に遅刻する。	He is a habitual late sleeper and is often late to work.		
EX15U01S029	1	1	そのビルは新しいので、まだいくつか空き部屋がある。	"The building is new, so there are still several vacant apartments."		
EX15U01S030	1	1	批評家たちは、その著者の大胆な詩的言葉遣いを称賛している。	Critics have praised the author's daring use of poetic language.		
EX15U01S031	1	1	その会社の事業活動は東南アジアで成功している。	The company's business activities are thriving in Southeast Asia.		
EX15U01S032	1	1	彼女はいくつかの仕切りに分かれた大きなハンドバッグを持っている。	She has a large purse divided into several compartments.		
EX15U01S033	1	1	経済成長は急速に加速し続けている。	The growth of the economy continues to accelerate rapidly.		
EX15U01S034	1	1	この界隈のほとんどの人は日本からの移民の子孫だ。	Most people in this neighborhood are descendants of Japanese immigrants.		
EX15U01S035	1	1	古い納屋は朽ち果てて、最後には何も残らなかった。	The old barn decayed until there was nothing left.		
EX15U01S036	1	1	当社のスマートフォンのデザインは、絶えず洗練と改良を続けております。	Our smartphone designs are constantly being refined and improved.		
EX15U01S037	1	1	彼女の両脚の虫刺されは、腫れて赤くなった。	The bug bites on her legs swelled and turned red.		
EX15U01S038	1	1	人口の大部分はきれいな水を手に入れることができない。	A large segment of the population does not have access to clean water.		
EX15U01S039	1	1	賄賂を受け取ったとして何人かの政治家が逮捕された。	Several politicians have been arrested for taking bribes.		
EX15U01S040	1	1	彼女は幼いころからずっと漫画に夢中だ。	She has been obsessed with comic books since she was young.		
EX15U01S041	1	1	CEOは、全社的な解雇を回避するという約束を守った。	The CEO upheld his promise to avoid company-wide layoffs.		
EX15U01S042	1	1	その組織は政府を転覆させようとしている。	The organization is trying to overthrow the government.		
EX15U01S043	1	1	彼はヨーロッパ旅行の計画を妻に任せた。	He let his wife decide the itinerary for their trip to Europe.		
EX15U01S044	1	1	地下室からかすかな物音が聞こえた。	We heard a faint noise coming from the basement.		
EX15U01S045	1	1	彼女は犬たちの世話の仕方について明確な指示を残した。	She left explicit instructions regarding how to take care of her dogs.		
EX15U01S046	1	1	彼が子どものころ、彼の祖母はいつも甘かった。	His grandmother was always lenient when he was a child.		
EX15U01S047	1	1	仕事を辞めて新しい仕事を探すことを考えたことはありますか。	Have you ever contemplated quitting and finding a new job?		
EX15U01S048	1	1	有罪と証明されない限り、あなたは無罪と見なされます。	You shall be presumed innocent unless you are proven guilty.		
EX15U01S049	1	1	かさばるバッグは機内持ち込み手荷物としては使用できない。	Bulky bags cannot be used as carry-on luggage.		
EX15U01S050	1	1	その候補者は、裁判所の決定に従って選挙の敗北を認めた。	The candidate conceded the election following the court's decision.		
EX15U01S051	1	1	先生に質問されて、彼女は肩をすくめた。	She shrugged her shoulders when her teacher asked her the question.		
EX15U01S052	1	1	捜査官たちは犯行現場を再現しようと取り組んだ。	Investigators worked to reconstruct the crime scene.		
EX15U01S053	1	1	解体現場を取り囲む大きなバリケードがたくさんあった。	There were many large barricades surrounding the demolition site.		
EX15U01S054	1	1	その夫婦はCEO と豪華なディナーに行った。	The couple went to an extravagant dinner with the CEO.		
EX15U01S055	1	1	ビジネスパートナーたちは相違点を調整するために努力した。	The business partners worked hard to reconcile their differences.		
EX15U01S056	1	1	月会員は入場料を免除されます。	Monthly members are exempt from paying the admission fee.		
