key_value	cited	unit	japanese	eng1	eng2	eng3
PS20U01S001	1	1	計画について私に知らせる	let me know about the plan		
PS20U01S002	1	1	新しい仕事をつくり出す	create new jobs		
PS20U01S003	1	1	問題を引き起こす	cause a problem		
PS20U01S004	1	1	劇的に増加する	dramatically increase		
PS20U01S005	1	1	電灯をつけっぱなしにする	leave the lights on		
PS20U01S006	1	1	新製品を開発する	develop a new product		
PS20U01S007	1	1	生徒の数を減らす	reduce the number of students		
PS20U01S008	1	1	売り上げを 30％向上させる	improve sales by 30%		
PS20U01S009	1	1	映画を制作する	produce a film		
PS20U01S010	1	1	あなたと同じ意.である	agree with you		
PS20U01S011	1	1	何が起こるかわからない	can’t tell what will happen		
PS20U01S012	1	1	彼が行くのを許す	allow him to go		
PS20U01S013	1	1	ピクニックに行く準備をする	prepare to go on a picnic		
PS20U01S014	1	1	自家用飛行機を所有している	own a private airplane		
PS20U01S015	1	1	タイヤを点検する	check the tires		
PS20U01S016	1	1	彼が行くよう提案する	suggest that he（should）go		
PS20U01S017	1	1	シアトルへ飛ぶのに 500ドルかかる。	It costs 500 dollars to fly to Seattle.		
PS20U01S018	1	1	条件を満たす	meet one’s conditions		
PS20U01S019	1	1	子どもたちに昼食を提供する	provide lunch for the children		
PS20U01S020	1	1	服にお金を浪費する	waste money on clothes		
PS20U01S021	1	1	子どもを危険から守る	protect a child from danger		
PS20U01S022	1	1	援助を申し出る	offer help		
PS20U01S023	1	1	行方不明の犬の特徴を述べる	describe the missing dog		
PS20U01S024	1	1	ひどく損傷を受けている	be badly damaged		
PS20U01S025	1	1	その点で意見が合わない	disagree on that point		
PS20U01S026	1	1	みんなに良い映画を薦める	recommend a good movie to everyone		
PS20U01S027	1	1	洗濯機を修理してもらう	have my washing machine repaired		
PS20U01S028	1	1	友達と部屋を共有する	share a room with a friend		
PS20U01S029	1	1	不幸が次々続いた。	One misfortune followed another.		
PS20U01S030	1	1	新しい考えにつながる	lead to a new idea		
PS20U01S031	1	1	彼女の注意を引く	attract her attention		
PS20U01S032	1	1	彼に勉強するよう促す	encourage him to study		
PS20U01S033	1	1	意見を支持する	support one’s opinion		
PS20U01S034	1	1	私はこの町で生まれ育った。	I was born and raised in this town.		
PS20U01S035	1	1	ウェイターを雇う	hire a waiter		
PS20U01S036	1	1	車に課税する	charge a tax on cars		
PS20U01S037	1	1	健康を気にかける	care about one’s health		
PS20U01S038	1	1	（レストランなどの）席を予約する	book a table		
PS20U01S039	1	1	冬に備えて食料を蓄える	store food for winter		
