key_value	cited	unit	japanese	eng1	eng2	eng3
SB001S001	1	1	2024/10/24 Vialto tax breefing (ireland)その1	Vialto tax breefing (ireland) part 1		
SB001S002	1	1	A: では、本日はあなたが来年アイルランドに移転される際のアイルランドの税務上の影響についてお話しします。それでよろしいですか？	A: So I will today be covering the Irish tax implications of your relocation to Ireland next year. Is that right?		
SB001S003	1	1	A: わかりました。そして、あなたは来週日本の税務ブリーフィングがあると伺っています。正しいですか？	A: Okay and I believe you have your Japanese tax briefing next week.  Am I correct?  		
SB001S004	1	1	A: 完璧です。	A: Perfect. 		
SB001S005	1	1	A: ですので、できれば1時間まるまる使わずに済むと思いますが、もちろん通話後に何かご質問があれば、そのために1時間確保しています。	A: So hopefully I won't take the whole hour but obviously we do have the hour in case you have any questions you want to discuss following the call.  		
SB001S006	1	1	A: 進めていく中で、何かご質問があれば遠慮なくおっしゃってください。	A: Like it's absolutely fine as we go through any questions you might have.  		
SB001S007	1	1	A: では、始める前にお知らせしておきたいのですが、私たちはこの通話のノートを1、2日以内にあなたのVulnerability Hold Cabinetにアップロードします。	"A: Now, before we start, I just wanted to let you know that we will be uploading the notes from the call to your vulnerability hold cabinet in the next day or two.  "		
SB001S008	1	1	A: ですので、この通話でノートを取る必要はありません。いずれにせよ提供されますから。	A: So you know you don't have to take any notes for this call because it'll be provided anyway.  		
SB001S009	1	1	A: 通話中、どんな質問でも遠慮なくお尋ねください。ただ、後でブリーフィングノートを読んだ後にさらに質問があれば、いつでも私たちにメールを送ってください。	A: Feel free to ask any questions throughout the call but if you have further questions later once you've gone through the briefing notes you can always just send us an email.		
SB001S010	1	1	A: また、My Mobilityでヘルプセンターのオプションをご覧になったかもしれませんが、そこでヘルプセンターのチケットを提出することもできます。その場合、私たちの誰かが24時間以内にお返事します。	A: Or on my mobility you may have seen the help center option where you can submit help center tickets as well and one of us will get back to you within 24 hours.  		
SB001S011	1	1	A: さて、あなたのために正しい情報を持っているか確認したいと思います。	A: Now I just want to make sure we have the correct information for you.		
SB001S012	1	1	A: アマゾンから、あなたが来年の4月にアマゾン・アイルランドで働き始めると聞いています。それは確認されていますか？	A: So we've been informed by Amazon that you will start working for Amazon Ireland in April of next year. Has that been confirmed?  		
SB001S013	1	1	私: はい、確認しました。	Me: Ah yes I confirmed.  		
SB001S014	1	1	A: わかりました。では、アマゾン・アイルランドでの初出勤日はいつになりますか？	A: Okay so when will be your first day working in Amazon Ireland?  		
SB001S015	1	1	私: 来年の4月7日から働く予定です。	Me: I think I'm going to work on the 7th of April next year.  		
SB001S016	1	1	A: わかりました。では、アイルランドに到着するのはいつ頃だとお考えですか？	A: Okay and when do you think you'll be arriving in Ireland?  		
SB001S017	1	1	私: 来年の3月末にアイルランドに行くと思います。	Me: I think I'll be going to Ireland at the end of March next year.  		
SB001S018	1	1	A: 完璧です。それから、もしよろしければ、あなたの個人情報をいくつか収集させていただきたいです。私たちのファイルを最新に保つためです。	"A: Perfect. And I just need to gather some of your personal information, if you don't mind, just to keep our files up to date."		
