key_value	cited	unit	japanese	eng1	eng2	eng3
PV001S001	1	1	そのホテルは海から500メートル離れた所にある。	The hotel is 500 meters away from the sea.		
PV001S002	1	1	1週間留守にします。	I'Il be away for a week.		
PV001S003	1	1	私が近づくと鳥は泳いで去った。	The bird swam away when I got near.		
PV001S004	1	1	彼は部屋で泣き続けていた。	He was crying away in his room.		
PV001S005	1	1	週末には出かけるつもりです。	We'll go away for the weekend.		
PV001S006	1	1	車が立ち去る音が聞こえた。	I heard a car drive away.		
PV001S007	1	1	彼は心配事を笑い飛ばした。	He laughed away his worries.		
PV001S008	1	1	雪だるまが溶けてなくなった。	The snowman melted away.		
PV001S009	1	1	その車の騒音は徐々に消えていった。	The noise of the car died away.		
PV001S010	1	1	この花はすぐに枯れるだろう。	This flower will soon fade away.		
PV001S011	1	1	やかんのお湯が蒸発しかけている。	The water in the kettle is boiling away.		
PV001S012	1	1	彼は畑でせっせと働いている。	He is working away in the fields.		
PV002S001	1	2	駅は2キロ先にある。	The station is two kilometers off.		
PV002S002	1	2	彼は一気にその仕事を終わらせた。	He finished off the work.		
PV002S003	1	2	その試合は何時に始まりますか。	What time does the game kick off?		
PV002S004	1	2	彼はテレビを消した。	He switched off the TV.		
PV002S005	1	2	騎手は馬から落ちた。	The jockey fell off the horse.		
PV002S006	1	2	彼はいつも時計を見せびらかしている。	He's always showing off his watch.		
PV002S007	1	2	そのコンサートは中止された。	The concert was called off.		
PV002S008	1	2	社長は50人を解雇した。	The president laid off 50 employees.		
PV002S009	1	2	彼女はテーブルをきれいに片付けた。	She cleared off the table.		
PV002S010	1	2	私は1年で借金を完済しなければならない。	I have to pay off all my debts in a year.		
PV002S011	1	2	まずはビールから始めよう。	Let's start off with a beer.		
PV002S012	1	2	列車はガタンと動き出した。	The train moved off with a jerk.		
PV003S001	1	3	ロケットは上空に打ち上げられた。	The rocket flew up into the sky.		
PV003S002	1	3	少年は成長して医者になった。	The boy grew up to be a doctor.		
PV003S003	1	3	その車はどんどん加速している。	The car is speeding up.		
PV003S004	1	3	時間終了です。	Time's up.		
PV003S005	1	3	この植物を堀り起こせますか。	Can you dig up this plant?		
PV003S006	1	3	自分のおもちゃを拾い集めなさい。	Gather up your toys.		
PV003S007	1	3	彼はパーティー会場に現れなかった。	He didn't show up at the party.		
PV003S008	1	3	英語で20まで数えられますか。	Can you count up to 20 in English?		
PV003S009	1	3	明日の朝は6時に起こしてください。	Wake me up at six tomorrow morning.		
PV003S010	1	3	大きな声で話してください!聞こえません。	Speak up! I can't hear you.		
PV003S011	1	3	すぐにこの数の合計を出してください。	Add up these figures quickly.		
PV003S012	1	3	電話を切らないで。	Don't hang up on me.		
PV003S013	1	3	彼はクラスメイトに追いつくために一生懸命に勉強した。	He studied hard to catch up with his classmates.		
PV003S014	1	3	自分の英語を磨き直したい。	I want to brush up on my English.		
PV003S015	1	3	彼は一日でお金を使い果たした。	He used up all the money in one day.		
PV003S016	1	3	魚を全部食べなさい。	Eat up your fish.		
PV003S017	1	3	オレンジジュースを全部飲みなさい。	Drink up your orange juice.		
PV003S018	1	3	飛行機は墜落して燃え尽きた。	The plane burned up in the crash.		
PV003S019	1	3	(ガソリンスタンドで)満タンでお願いします。	"Fill it up, please."		
PV003S020	1	3	その農夫は最後には大統領になった。	The farmer ended up as President.		
PV003S021	1	3	部屋を片付けるのを手伝って。	Help me clear up the room.		
PV003S022	1	3	嵐の後、空は晴れ上がった。	The sky cleared up after the storm.		
PV003S023	1	3	2列に並んでください。	Please line up in two rows.		
PV003S024	1	3	家の戸締りを忘れずに。	Don't forget to lock up the house.		
PV003S025	1	3	黙りなさい!	Shut up!		
PV003S026	1	3	私の自転車のタイヤに空気を入れてくれますか。	Will you blow up the tire of my bike?		
PV003S027	1	3	ダイナマイトがその大きな岩を爆破した。	The dynamite blew up the big rock.		
PV004S001	1	4	手を降ろしなさい。	Put your hand down.		
PV004S002	1	4	列車は速度を落とした。	The train slowed down.		
PV004S003	1	4	この鉄くずは溶かして再利用されるでしょう。	This scrap metal will be melted down and used again.		
PV004S004	1	4	彼はソファにゆったりと座った。	He settled down on the sofa.		
PV004S005	1	4	そのビルは突然倒れた。	The building suddenly fell down.		
PV004S006	1	4	あなたの名前と住所を書き留めてください。	Write down your name and address.		
PV004S007	1	4	ソファに横になりたい。	I want to lie down on the sofa.		
PV004S008	1	4	兵士たちは武器を置いた。	The soldiers laid down their weapons.		
PV004S009	1	4	事態が収まることを願っています。	I hope things will calm down.		
PV004S010	1	4	私の家は全焼した。	My house was burned down.		
PV004S011	1	4	その支店を閉鎖することが決定した。	They decided to shut down the branch.		
PV004S012	1	4	風は次第におさまった。	The wind died down.		
PV005S001	1	5	彼はアメリカに渡った。	He flew over to America.		
PV005S002	1	5	授業は終わりました。	School is over.		
