key_value	cited	unit	japanese	eng1	eng2	eng3
TJ001S001	1	1	ビルは申込書に自分の住所を書き込んだ。	Bill put down his address on the application form.		
TJ001S002	1	1	君は重い荷物を下に置いた方がよい。	You’d better put down your heavy baggage.		
TJ001S003	1	1	電車が出発しそうだ。急いだ方がよい。	The train is departing. You’d better hurry.		
TJ001S004	1	1	ミーティングの協議事項をはっきりと設定しよう。	Let’s set the agenda for the meeting once and for all.		
TJ001S005	1	1	この大量の宿題を考えると，ロックのコンサートはまたの機会にした方が良さそうだ。	"With this load of assignments, we’d better take a rain check on the rock concert."		
TJ001S006	1	1	学者たちは新しい進化論に反対した。	The scholars objected to the new theory of evolution.		
TJ001S007	1	1	ジムを見下さないように。	Don’t look down on Jim.		
TJ001S008	1	1	テリーはその事故について責任がある。	Terry is responsible for the accident.		
TJ001S009	1	1	メアリーは，そのニュースを聞くと，突然泣きだした。	"When Mary heard the news, she burst into tears."		
TJ001S010	1	1	この冷蔵庫はあちらのものより優れている。	This refrigerator is superior to that one.		
TJ001S011	1	1	その女性は手を挙げてタクシーを止めようとした。	"Holding up her hand, the lady tried to stop a cab."		
TJ001S012	1	1	トムソン教授の宿題が終わった。今日は終わりにしよう。	We just finished the assignment for Professor Thomson. Let’s call it a day.		
TJ001S013	1	1	それは単に偶然の一致にすぎなかった。	It was nothing more than a mere coincidence. 		
TJ001S014	1	1	ジムだけでなくケンも悪い。	Not only Jim but also Ken was to blame.		
TJ001S015	1	1	ジョンはケンの隣に住んでいた。	John lived next to Ken. 		
TJ001S016	1	1	彼が試験に合格するのはほとんど不可能だった。	It was next to impossible for him to pass the exam.		
TJ001S017	1	1	この森はいろいろな種類のベリーに富んでいる。	This forest abounds in a variety of berries.		
TJ002S001	1	2	従業員の皆さん，特に学校を出たばかりの人たちは，私たちの会社のことをもっとよく勉強してください。	"All employees should study more about our company, especially those who are fresh from school."		
TJ002S002	1	2	君の住所を教えて。書き留めておくから。	Please let me know your address. I will write it down.		
TJ002S003	1	2	私たちは何とか苦境を切り抜けることができた。	We could somehow break through our hardships.		
TJ002S004	1	2	それは筋が通らないよ。君の考えは間違いだ。	It doesn’t make sense. Your idea is wrong.		
TJ002S005	1	2	私は映画館でトムに偶然出会った。	I ran into Tom at a theater.		
TJ002S006	1	2	この車は時代遅れだ。	This vehicle is out of date.		
TJ002S007	1	2	彼は生計を立てるために，朝から晩まで一生懸命に働いている。	He works hard from morning till night in order to make a living.		
TJ002S008	1	2	一方では，彼の発明は省エネに役立つだろうが，また他方では，それは兵器として利用されるかもしれない。	On the one hand his invention will save energy; on the other hand it might be used as a weapon.		
TJ002S009	1	2	彼の理論は実験結果と一致している。	His theory is consistent with the experimental results.		
TJ002S010	1	2	ようこそパーティーへ！お飲み物はご自由にお取りください。	Welcome to the party! Please help yourself to some drinks.		
TJ002S011	1	2	お昼までに，曲のリストを作成してください。	Please draw up the music list by noon.		
TJ002S012	1	2	なんて素敵な日なんだ！川沿いをぶらつかない？	What a nice day! Why don’t we mill about along the river?		
TJ002S013	1	2	私は毎日カフェテリアの食べ物を食べなくてはならないことにうんざりしている。	I’m sick of having to eat cafeteria food every day.		
TJ002S014	1	2	勝利を祝うためにチームのメンバーが集まった。	The team members got together to celebrate their victory.		
